qimei36,exp_id,pg_article_id,start_article_id,is_imgtext_detail_rcmd,chl_id
2ceb908cb2077b8f19e7f52710001d214707,8406962,20220619A08TOZ00,20220620V08ZJ200,1,news_news_top
2ceb908cb2077b8f19e7f52710001d214707,8406962,20220619A08TOZ00,20220620V08ZJ200,1,news_news_top
2ceb908cb2077b8f19e7f52710001d214707,8406962,20220619A08TOZ00,20220620V08ZJ200,1,news_news_top
2ceb908cb2077b8f19e7f52710001d214707,8406962,20220619A08TOZ00,20220620V08ZJ200,1,news_news_top
34200cd6bace2d74978ad075100014314911,8406962,20220620A09NS200,20220619V02CW900,1,news_news_top
34200cd6bace2d74978ad075100014314911,8406962,20220620A04KDD00,20220619V02CW900,1,news_news_top
34200cd6bace2d74978ad075100014314911,8406962,20220620A09NS200,20220619V02CW900,1,news_news_top
34200cd6bace2d74978ad075100014314911,8406962,20220620A04KDD00,20220619V02CW900,1,news_news_top
3604b9080bd02611c7976c1a000010f16209,8406962,20220620A0CK0M00,20220621V03FZ500,1,news_news_top
3604b9080bd02611c7976c1a000010f16209,8406962,20220620A0B94J00,20220621V03FZ500,1,news_news_top
3604b9080bd02611c7976c1a000010f16209,8406962,20220620A0B94J00,20220621V03FZ500,1,news_news_top
3604b9080bd02611c7976c1a000010f16209,8406962,20220620A0CK0M00,20220621V03FZ500,1,news_news_top
3604b9080bd02611c7976c1a000010f16209,8406962,20220620A0CK0M00,20220621V03FZ500,1,news_news_top
3604b9080bd02611c7976c1a000010f16209,8406962,20220620A0B94J00,20220621V03FZ500,1,news_news_top
3604b9080bd02611c7976c1a000010f16209,8406962,20220620A0B94J00,20220621V03FZ500,1,news_news_top
3604b9080bd02611c7976c1a000010f16209,8406962,20220620A0CK0M00,20220621V03FZ500,1,news_news_top
38c1db0d4e152c1dee14a64c000013c15c17,8406962,20220620A03NFH00,NEW2022062100016900,1,news_news_top
38c1db0d4e152c1dee14a64c000013c15c17,8406962,20220620A03NFH00,NEW2022062100016900,1,news_news_top
38c1db0d4e152c1dee14a64c000013c15c17,8406962,20220620A03NFH00,NEW2022062100016900,1,news_news_top
3f4075926ba9219c8454eaa910001ad14912,8406962,20220620A06B1A00,20220620V09S1400,1,news_news_top
3f4075926ba9219c8454eaa910001ad14912,8406962,20220620A06B1A00,20220620V09S1400,1,news_news_top
3f4075926ba9219c8454eaa910001ad14912,8406962,20220620A06B1A00,20220620V09S1400,1,news_news_top
3f4075926ba9219c8454eaa910001ad14912,8406962,20220620A06B1A00,20220620V09S1400,1,news_news_top
3f4075926ba9219c8454eaa910001ad14912,8406962,20220620A06B1A00,20220620V09S1400,1,news_news_top
3f4075926ba9219c8454eaa910001ad14912,8406962,20220620A06B1A00,20220620V09S1400,1,news_news_top
434ef0da82d974b2157833c810001f714912,8406962,20220620A0B94J00,20220621V0CIGA00,1,news_news_top
434ef0da82d974b2157833c810001f714912,8406962,20220620A0B94J00,20220621V0CIGA00,1,news_news_top
434ef0da82d974b2157833c810001f714912,8406962,20220620A0B94J00,20220621V0CIGA00,1,news_news_top
434ef0da82d974b2157833c810001f714912,8406962,20220620A0B94J00,20220621V0CIGA00,1,news_news_top
434ef0da82d974b2157833c810001f714912,8406962,20220620A0B94J00,20220621V0CIGA00,1,news_news_top
434ef0da82d974b2157833c810001f714912,8406962,20220620A0B94J00,20220621V0CIGA00,1,news_news_top
43ec9aa034f2de8026e3d87410001dc15913,8406962,20220619A08P9Q00,20220618V02KYM00,1,news_news_top
43ec9aa034f2de8026e3d87410001dc15913,8406962,20220619A08P9Q00,20220618V02KYM00,1,news_news_top
43ec9aa034f2de8026e3d87410001dc15913,8406962,20220619A08P9Q00,20220618V02KYM00,1,news_news_top
43ec9aa034f2de8026e3d87410001dc15913,8406962,20220619A08P9Q00,20220618V02KYM00,1,news_news_top
43ec9aa034f2de8026e3d87410001dc15913,8406962,20220619A08P9Q00,20220618V02KYM00,1,news_news_top
43ec9aa034f2de8026e3d87410001dc15913,8406962,20220619A08P9Q00,20220618V02KYM00,1,news_news_top
